Orgineel,Synoniem,Dialect
Ketting,Schakelketting,0
Keukenrol,Huishoudrol,0
Keukenrol,Keukenpapier,0
Kleding,Garderobe,0
Kleding,Klederen,0
Kleding,Kledij,0
Kleding,Kleed,0
Kleding,Kleedsel,0
Kleding,Kleergoed,0
Kleding,Kleren,0
Kleding,Plunje,0
Kleding,Tenue,0
Kleefpapier,Afplakker,1
Kleefpapier,Etiket,0
Kleefpapier,Plakfolie,0
Kleefpapier,Plakker,1
Kleefpapier,Zelfklever,0
Klever,Sticker,0
Knoopcel,Button cell,1
Knoopcel,Coin cell,1
Knoopcel,Knoopbatterij,0
Knoopcel,Knoopcelbatterij,0
Koelvloeistof,Koelmiddel,0
Koffiedik,Drab,0
Koffiedik,Dras,1
Koffiedik,Grons,1
Koffiedik,Grus,1
Koffiedik,Koffiebezinksel,0
Koffiedik,Koffiedrab,0
Koffiedik,Koffiedras,1
Koffiedik,Koffiegruis,0
Koffiedik,Koffieprut,0
Koffiefilter,Kaffeebeus,1
Koffiefilter,Rampenauke,1
Kokosnoot,Klapper,0
Kokosnoot,Klappernoot,0
Kokosnoot,Kokernoot,1
Kokosnoot,Kokosvrucht,0
Kompres,Compressieverband,0
Kompres,Drukverband,0
Kompres,Verband,0
Koper,Koperwerk,0
Koper,Roodkoper,0
Koperpoets,Koperglans,0
Kraan,Afsluitkraan,0
Kraan,Hoofdkraan,0
Kraan,Mengkraan,0
Kraan,Tap,0
Krant,Avondblad,0
Krant,Courant,0
Krant,Dagblad,0
Krant,Gazet,0
Krant,Gazette,1
Krant,Nieuwsblad,0
Krant,Ochtendblad,0
Krant,Zondagskrant,0
Kristal,Kristalglas,0
Kroonkurk,Bierpotteke,1
Kroonkurk,Dansluiting,0
Kroonkurk,Schuutje,1
Kroonkurk,Stopke,1
Kroonkurk,Teilke,1
Kunstgebid,Tandprothese,0
Kunstgebit,Vals gebit,0
Kunstgebit,Valse tanden,0
Kunstmest,Gemic,1
Kunststof map,Hechtmap,0
Kunststof map,Kunststof L-map,0
Kunststof map,Ringband,0
Kunststoffles,Dopper,2
Kussen,Hoofdkussen,0
Kussen,Huppeling,1
Kussen,Kopkussen,1
Kussen,Oorkussen,1
Kussen,Peluw,0
Kussensloop,Fluwijn,1
Kussensloop,Kussenovertrek,0
Kussensloop,Traversin,1
Kwik,Kwikzilver,0
Laptop,Notebook,0
Laptop,Schootcomputer,0
Lavabo,Handenwasser,1
Lavabo,Lampetkom,1
Lavabo,Lavoir,1
Lavabo,Soemel,1
Lavabo,Wasbak,0
Lavabo,Wasbekken,0
Lavabo,Waskom,0
Lavabo,Wastafel,0
Lederwaar,Leder,0
Lederwaar,Leer,0
Lederwaar,Leerwaar,0
Lei,Leisteen,0
Lei,Schalie,0
Lei,Schiefer,0
Lepel,Leper,1
Lijm,Adhesief,0
Lijm,Col,1
Lijm,Colle,1
Lijm,Kleefmiddel,0
Lijm,Kleefpasta,0
Lijm,Kleefstof,0
Lijm,Kol,1
Lijm,Plakmiddel,0
Lijm,Plaksel,1
Lippenstift,Lipbalsem,0
Lippenstift,Lipstick,0
Lippenstift,Lipstift,0
Lucifer,Solverstekske,1
Lucifer,Spikske,1
Lucifer,Stekje,0
Lucifer,Stekske,1
Lucifer,Stormlucifers,-1
Lucifer,Sulfer,1
Lucifer,Surfel,1
Lucifer,Vuurhoutje,0
Lucifer,Zweingel,1
Luier,Pamper,0
Luier,Pisbroek,1
Luier,Pisdoek,1
Magneet,Plakijzer,1
Magneet,Plekijzer,1
Magneet,Trekijzer,1
Magneet,Trekizer,1
Magneet,Trekstaal,1
Magneet,Zeilsteen,1
Mascara,Eyeblack,0
Mascara,Ogenzwart,0
Mayonaise,Mayo,0
MDF,Medium-Density Fibreboard,0
Mes,Broodmes,-1
Mes,Kapmes,-1
Mes,Keukenmes,-1
Mes,Mit,0
Mes,Pennenmes,-1
Mes,Scheermes,-1
Mes,Stiletto,-1
Mes,Vleesmes,-1
Mes,Zakmes,-1
Metaalpoets,Brasso,2
Metaalpoets,Koperglans,0
Metaalpoets,Koperpoets,0
Metaalpoets,Polijstmiddel,0
Methanol,Brandalcohol,0
Methanol,Brandspiritus,0
Methanol,Carbinol,0
Methanol,Houtgeest,0
Methanol,Methylalcohol,0
Methanol,Spiritus,0
Meubel,Ameublement,0
Meubel,Meubelstuk,0
Meubel,Meubilair,0
Multiplex,Multiplexplaat,0
Multiplex,Triplex,0
Multiplex,Triplexplaat,0
Munitie,Ammunitie,0
Nagellakverwijderaar,Dissolvent,1
Nagellakverwijderaar,Nagellakremover,0
Natronkalkglas,Pyrex,2
Natronkalkglas,Pyrexglas,2
Neonlamp,Argonbuis,0
Neonlamp,Argonlamp,0
Neonlamp,Heliumbuis,0
Neonlamp,Heliumlamp,0
Neonlamp,Kryptonbuis,0
Neonlamp,Kryptonlamp,0
Neonlamp,Neonbuis,0
Neonlamp,Xenonbuis,0
Neonlamp,Xenonbuis,0
Nietjesmachine,Nietapparaat,0
Nietjesmachine,Nieter,0
Nietjesmachine,Nietjesmachien,1
Nietjesmachine,Nietmachien,1
Nietjesmachine,Nietmachine,0
Nietjesmachine,Pinnekesmachien,1
Nietjesmacine,Pinmachine,1
Nummerplaat,Kenteken,0
Nummerplaat,Kentekenplaat,0
Nummerplaat,Nummerbord,0
Nummerplaat,Plak,1
Omheining,Afrastering,0
Omheining,Afspanning,0
Omheining,Betuining,0
Omheining,Heining,0
Omheining,Hek,0
Omheining,Omrastering,0
Omheining,Omtuining,0
Omheining,Schutsel,1
Omheining,Schutting,0
Omheining,Stichel,1
Omheining,Stikkel,1
Omwikkelfolie,Wikkelfolie,0
Ondergoed,Combiné,1
Ondergoed,Lingerie,0
Ondergoed,Onderkleding,0
Onkruid,Ruske,1
Onkruid,Verrekesjè,1
Ontkalker,Ontkalkingsmiddel,0
Ontsmettingsmiddel,Antisepticum,-1
Ontsmettingsmiddel,Desinfectans,-1
Ontsmettingsmiddel,Desinfecterend middel,-1
Ontsmettingsmiddel,Desinfectievloeistof,-1
Ontsmettingsmiddel,Ontsmettingsalcohol,-1
Ontstopper,Gootsteenontstopper,0
Ontstopper,Rioolrat,1
Ontstopper,vloeibare ontstopper,0
Ontstopper,Wc-ontstopper,0
Ontvetter,Terpentijn,0
Ontvetter,Terpentine,0
Ontvetter,Thinner,2
Ontvetter,Verdunner,0
Ontvetter,Vetverwijderaar,0
Ontvetter,Wasbenzine,-2
Ontvetter,White spirit,2
Ontvlekker,Vlekverwijderaar,0
Ontwikkelvloeistof,kaliumsulfiet,0
Opaline glas,Opaline,0
Oven,Bakkersoven,-2
Oven,Bakoven,0
Oven,Heteluchtoven,-2
Oven,Magnetronoven,-2
Oven,Pizzaoven,-2
Oven,Stoomoven,-2
Oven,Zonneoven,-2
Pallet,Drankenpallet,-2
Pallet,Europallet,-2
Pallet,Laadbord,0
Pallet,Laadplaat,0
Pallet,Poolpallet,-2
Pallet,Standaardpallet,-2
Pan,Kookpot,0
Pan,Pot,0
Papier,Paperassen,1
Paraplu,Regenscherm,0
Parasol,Zonnescherm,0
Parfum,Geurstof,0
Parfum,Odeur,0
Parfum,Reukstof,0
Parfum,Reukwater,0
Perforator,Gaatjesmachien,1
Perforator,perforateur,0
Perforator,Perforeermachine,0
Pesticide,Herbicide,0
Pesticide,Insecticide,0
Pesticide,Onkruidverdelger,0
Pesticide,Onkruidverdelgingsmiddel,0
PET-fles,petfles,0
PET-fles,Plastic fles,0
PET-fles,Polyethyleentereftalaat-fles,0
Pickles,Piccalilly,0
Pit,Zaad,0
Pit,Zaadkorrel,0
Plakband,Afdekplakband,-2
Plakband,Ducttape,-2
Plakband,Gaffertape,-2
Plakband,Isolatieplakband,-2
Plakband,Kleefband,0
Plakband,Lakker,1
Plakband,Lastape,-2
Plakband,Omboordplakband,-2
Plakband,Papierplakband,-2
Plakband,Plaklint,1
Plakband,Tape,0
Plakband,Verpakkingsplakband,-2
Plank,Balk,0
Plank,Blad,0
Plank,Plaat,0
Plant,Kamerplant,-2
Plant,Kasplant,-2
Plant,Struik,-2
Plant,Tuinplant,-2
Pluim,Slagpen,0
Pluim,Vogelveer,0
Polymethylmethacrylaat,Acrylaat,0
Polymethylmethacrylaat,Altuglas,2
Polymethylmethacrylaat,Oroglas,2
Polymethylmethacrylaat,Perspex,2
Polymethylmethacrylaat,Plexiglas,2
Polymethylmethacrylaat,PMMA,0
Polymethylmethacrylaat,Propenoaat,0
Pop,Barbie,2
Pop,Etalagepop,-1
Pop,Handpop,-2
Pop,Marionet,0
Pop,Paspop,-1
Pop,Puppe,1
Porselein,Halfporselein,-2
Porselein,Kraakporselein,-2
Potlood,Aquarelpotlood,-2
Potlood,Conté-potlood,-2
Potlood,Crayong,1
Potlood,Houtskoolpotlood,-2
Potlood,Kerjong,1
Potlood,Kleurpotlood,-2
Potlood,Krajon,1
Potlood,Paringspotlood,-2
Potlood,Schrijfpotlood,-2
Potlood,Tekenpotlood,-2
Potlood,Timmermanspotlood,-2
Printercartridge,Printercassette,0
Printercartridge,Printerlint,0
Pruik,Haarstukje,0
Pruik,Paruke,1
Pruik,Postiche,1
Pruik,Pruke,1
Pruik,Toupet,-2
Pruimtabak,Sjiekentoebak,1
Pruimtabak,Sjiektabak,0
Puin,Bouwval,0
PVC-buis,Elektrabuis,0
PVC-buis,Elektriciteitsbuis,0
PVC-buis,Installatiebuis,0
PVC-buis,Polivolt,1
Rattenvergif,Brodifacoum,-2
Rattenvergif,Bromadiolon,-2
Rattenvergif,Chloorfacinon,-2
Rattenvergif,Cumatetralyl,-2
Rattenvergif,Difacinon,-2
Rattenvergif,Difenacum,-2
Rattenvergif,Difethialon,-2
Rattenvergif,Flocumafen,-2
Rattenvergif,Rodenticide,0
Rattenvergif,Warfarine,-2
Reclamedrukwerk,Brochure,0
Reclamedrukwerk,Circulaire,0
Reclamedrukwerk,Flyer,-2
Reclamedrukwerk,Folder,0
Reclamedrukwerk,Pamflet,0
Reclamedrukwerk,Reclameblad,-2
Reclamedrukwerk,Reclamefolder,-2
Reclamedrukwerk,Rondschrijven,0
Reclamedrukwerk,Rondzendbrief,0
Reclamedrukwerk,Strooibiljet,0
Reclamedrukwerk,Vlugschrift,0
Regenpijp,Hemelwaterafvoer,0
Regenpijp,Regenwaterafvoer,0
Rietje,Stroiken,1
Rietje,Strooike,1
Rietje,Strootje,0
Ring,Chipring,-2
Ringmap,Classeur,1
Ringmap,Klapper,0
Ringmap,Klasseur,1
Ringmap,Multomap,0
Ringmap,Ordner,0
Ringmap,Ringband,0
Rolluik,Afrolder,1
Rolluik,Blaffetuur,1
Rolluik,Blavetuur,1
Rolluik,Lattestoor,1
Rolluik,Percheine,1
Rolluik,Persienne,1
Rolluik,Rolschets,1
Rolluik,Volè,1
Rolschaats,Inline-skate,-2
Rolschaats,Lijnrolschaats,-2
Rolschaats,Skeeler,-2
Rolschaats,Straatschaats,-2
Rolschaats,Wielschaats,-2
Roofing,Asfaltpapier,-2
Roofing,Dakbedekking,0
Roofing,Dakleer,-2
Roofing,Teerpapier,-2
Rubber,Caoutchouc,1
Rubber,Gummi,0
Rubber,Hardrubber,-2
Rubber,Kunstrubber,-2
Rubber,montagerubber,-2
Rubber,Pararubber,-2
Rubber,Schuimrubber,-2
Rubber,Sponsrubber,-2
Röntgenfoto,Röntgenopname,0
Röntgenfoto,X-straalfoto,0
Saus,Vleesjus,1
Saus,Vleesnat,0
Schaafkrullen,Schaafsel,0
Schaafkrullen,Schavelinge,1
Schaar,Scheir,1
Schaar,Sizo,1
Scheermes,Gilette,2
Scheermes,Gillette,2
Scheermes,Schaas,1
Scheermes,Schêês,1
Schmink,Blanketsel,0
Schmink,Make-up,0
Schmink,Maquillage,0
Schoen,Laars,-2
Schoen,Muil,-2
Schoen,Sandaal,-2
Schoen,Schoeisel,-2
