Wat,Waar
Verfstripper,AEEA
Verpakkingsfolie,Restafval
Vershoudfolie,Restafval
Vezelplaat,Houtafval
"Videoband, -cassette",Restafval
Vijverfolie,Restafval
Viltstift,KGA
Vinyl vloerbedekking,Grofvuil
Vinylplaat,Restafval
Vis,Restafval
Visgraat,Restafval
Vlak glas,Vlak glas
Vliegengordijn,Restafval
Vlooienband/spray/druppel,KGA
Vochtig doekje,Restafval
Voegpasta,KGA
Voetbal,Restafval
Voetmat,Restafval
Vogelkooizand,Restafval of dit lusten de kippen
Voltapijt,Grofvuil
Vuilblik,"Kunststof: restafval
Metaal: oude metalen"
Vulpen,Leeg: restafval
Vuurvaste schotel,"Aardewerk: bouwafval: steenpuin
Glas: bouwafval: stortafval"
Vuurwapen,Munitie: politie verwittigen
Vuurwerk,KGA
WC-ontstopper,Met of zonder product: KGA
Warmwaterkruik,Restafval
Wasco,Restafval
Wasdraad,Restafval
Wasmand,Grofvuil
Wasmiddel,"Met product: KGA
Zonder product: PMD"
Waspoeder,"Met product: KGA
Zonder product: P&amp;K"
Wax,Met of zonder product: KGA
Wc,Zonder metalen delen: bouwafval
Wc-borstel,Restafval
Wc-eend,Met of zonder product: KGA
Wegwerpbord,Restafval
Wegwerpfototoestel,Restafval
Wenskaart,P&amp;K
Wespennest,Onschadelijk gemaakt: Restafva
Wijnfles,Glas
Wol,Restafval
X-straalfoto,KGA
Xyleen,Met of zonder product: KGA
Yoghurtbeker,Restafval
Yoghurtfles,Kunststof: PMD
Yoghurtkarton,Brik: PMD
Yoghurtpot,Kunststof: restafval
Ytong,Bouwafval
Zaag,Oude metalen
Zaagmeel,"Van vervuild of behandeld hout: restafval
Van onbehandeld en onvervuild hout: restafval of composteerbaar
: zaagmeel kunt u verbranden in de houtkachel"
Zakmes,Oude metalen
Zand,Bouwafval: steenpuin
Zeemvel,Restafval
Zeep,KGA
Zelfklever,Restafval
Zetel,Grofvuil
Zijden bloem,Restafval
Zilverpapier,Restafval
Zink,Oude metalen
Zonnebanklamp,Niet breken: KGA
Zonnebrandolie,"Met product: Restafval
Zonder product: PMD (flacon) of restafval (tube)"
Zonnebril,Restafval
Zonnecréme,"Met product: KGA
Zonder product: PMD"
Zout,KGA
Zwembad en -band,Restafval
kasticket,papier en karton
