0,1
Geperst karton (bv. een plafondtegel),"Brandbaar grofvuil Mag niet bij papier en karton omwille van eventuele lijmresten en het laagje fineer Mag niet bij houtafval, omdat dit geen hout is"
Geurblokjes,Recyclagepark (KGA)
Geursteentje (wc),Recyclagepark (KGA)
Gevelreiniger,Recyclagepark (KGA)
Gewapend glas,Recyclagepark (vlak glas)
Geweer,Politie bellen
Gewei (muurdecoratie),Recyclagepark (perscontainer brandbaar afval)
Gezelschapsspel (bruikbaar),Kringwinkel of recyclagepark (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Gezichtbruiner,Recyclagepark (elektro)
Gif,Recyclagepark (KGA)
Gips (platen),Recyclagepark (gipsafval)
Glansmiddel,Recyclagepark (KGA)
Glas (ruiten),Recyclagepark (vlak glas)
Glasvezel,Recyclagepark (perscontainer brandbaar afval)
Glasvezelbehang,Restafvalzak
Glaswol,Recyclagepark (perscontainer brandbaar afval)
Glazen bokalen (leeg),Glasbol
Glazen flessen (leeg),Glasbol
Gloeilamp,Recyclagepark (KGA: TL - gloeilampen)
Glycol,Recyclagepark (KGA)
Golfplaat (asbest),Recyclagepark (asbest)Â Verplicht verpakt aan te leveren vanaf 2020.Â Zie voor meer info: www.mirom.be/asbest
Golfplaat (metaal),Recyclagepark (metaal)
"Golfplaat in plastic, niet versterkt",Recyclagepark (harde plastics)
Goot (koper of zink),Recyclagepark (metaal)
Goot (pvc),Recyclagepark (harde plastics)
Gootsteen (keramiek),Recyclagepark (niet recycleerbaar)
Gootsteen (metaal),Recyclagepark (metaal)
Gordijnen,Bevuild: restafvalzak Versleten: textielcontainer Herbruikbaar: textielcontainer of de Kring(loop)winkel Meer info: www.mirom.be/textiel
Gourmet,Recyclagepark (elektro)
Grasmaaisel,"Thuiscomposteren of voederen aan de kippen, eendenâ¦ of tuinafvalbak of recyclagepark (tuinafval)"
Grasmachine,Recyclagepark (elektro)
Grasmachine (bruikbaar),Kringwinkel
Grasperkverluchters,Recyclagepark (elektro) Let wel: indien met motor op benzine: recyclagepark (metaal)
Graszoden (minimale hoeveelheid aarde),Recyclagepark (aarde)
Grill,Recyclagepark (elektro)
Groenten- en fruitresten,"Thuiscomposteren of voederen aan de kippen, eendenâ¦ of restafvalzak"
Gyproc,Recyclagepark (gipsafval)
Haagscheersel,Thuiscomposteren of tuinafvalbak of recyclagepark (tuinafval)
Haar,Restafvalzak
Haardblokjes,Recyclagepark (KGA)
Haardroger,Recyclagepark (elektro)
Haardroger (bruikbaar),Kringwinkel
Haarlak (lege spuitbus),PMD-zak
Haarstyler,Recyclagepark (elektro)
Haartrimmer,Recyclagepark (elektro)
Haktoestel,Recyclagepark (elektro)
Halogeenlamp,Recyclagepark (KGA)
Halssnoer (metaal/kunststof),Recyclagepark (metaal) / Restafvalzak
Halter,Recyclagepark (metaal)
Hamer,Recyclagepark (metaal)
Handdoek,Bevuild: restafvalzak Versleten: textielcontainer Herbruikbaar: textielcontainer of de Kring(loop)winkel Meer info: www.mirom.be/textiel
Handleidingen,Papier en karton
Handschoen (leder of stof),Recyclagepark (textiel) Let wel: bevuilde of versleten textiel in restafvalzak
Handtas,Bevuild: restafvalzak Versleten: textielcontainer Herbruikbaar: textielcontainer of de Kring(loop)winkel Meer info: www.mirom.be/textiel
Hangslot,Recyclagepark (metaal)
Hars,Recyclagepark (KGA)
Herbiciden,Recyclagepark (KGA)
Hoed,Recyclagepark (textiel) Let wel: bevuilde of versleten textiel in restafvalzak
Hondenpoep (weinig),Restafvalzak (Let wel: een restafvalzak mag max. 15 kg wegen)
Hoofdkussen (beddengoed),Bevuild: restafvalzak 	Versleten:Â textielcontainer 	Herbruikbaar: textielcontainerÂ of de Kring(loop)winkel Meer info: www.mirom.be/textiel Â
Hooi (zuiver),Thuiscomposteren of tuinafvalbak of recyclagepark (tuinafval)
Horloge,Recyclagepark (metaal)
Hout,Recyclagepark (hout)
Hout geÃ¯mpregneerd,Via privÃ© verwerker
Houtbeschermingsmiddel,Recyclagepark (KGA)
Houtkrullen,Thuiscomopsteren (enkel van zuiver hout) / Recyclagepark (hout)
Houtskool,Restafvalzak
Huisbrandolie,Recyclagepark (KGA)
Huishoudlinnen,Recyclagepark (textiel) Let wel: bevuilde of versleten textiel in restafvalzak
Ijskast,Recyclagepark (elektro)
Ijskast (bruikbaar),Kringwinkel
Ijsroomdoos (plastic),Restafvalzak
Ijzerwaren,Recyclagepark (metaal)
Incontinentiemateriaal,Restafvalzak
Industrieel-medische gasflessen,Neem contact op met www.cylinders.essenscia.be
Infraroodlamp,Recyclagepark (KGA)
Injectienaalden,Recyclageparken (naaldcontainer)
Inkt,Recyclagepark (KGA)
Inlegkruisje,Restafvalzak
Insecticiden,Recyclagepark (KGA)
Insulinespuit,Recyclagepark (KGA)
Inzamelpunt BEBAT (batterijen) worden?,"Een BEBAT inzameldoos in jouw winkel, bedrijf of gemeente? 	Vul hier het aanvraagformulier in en ontvang gratis inzamelmateriaal!Â"
Isolatiemateriaal,Recyclagepark (perscontainer brandbaar afval)
Isoleerfles metaal,Recyclagepark (metaal)
Isoleerfles plastic,Restafvalzak
Isomo (wit),Recyclagepark (isomo)
Jampotten (uitgespoeld),Glasbol
Javel,Recyclagepark (KGA)
Jeneverkruik,Recyclagepark (niet recycleerbaar)
Jerrycan (metaal),Recyclagepark (metaal)
Jeugdboek (bruikbaar),Kringwinkel of recyclagepark (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Kaarsen,Restafvalzak
Kaarsvet,Restafvalzak
Kaart met magneetband,Restafvalzak
Kaaskorst,Voederen aan de kippen of restafvalzak
Kaasmaker,Recyclagepark (elektro)
Kabels,Recyclagepark (elektriciteitskabels)
Kachel,Recyclagepark (metaal)
Kachel (bruikbaar),Kringwinkel
Kadaver,"Contacteer Rendac, Denderleeuw 056/64.02.34"
Kaligeen,Recyclagepark (KGA)
Kalksteen,Recyclagepark (gipsafval)
Kandelaar (bruikbaar),Kringwinkel of recyclagepark (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Kapotte laarzen,Restafvalzak
Kapstok (hout),Recyclagepark (hout)
Kapstok (ijzer),Recyclagepark (metaal)
Kapstok (plastic),Recyclagepark (harde plastics)
Karton,Papier en karton
Kasseien,Recyclagepark (steenpuin)
Kasten (bruikbaar),Kringwinkel
Kasten (hout/metaal),Recyclagepark (hout / metaal)
Kasticket,Restafval
Kattenbakvulling,Restafvalzak (Let wel: een restafvalzak mag max. 15 kg wegen)
Keien,Recyclagepark (steenpuin)
Keramiek,Recyclagepark (niet recycleerbaar)
Keramische kookplaat,Recyclagepark (elektro)
Kerstbal,Restafvalzak (Let wel: goed verpakken)
Kerstboom,Thuiscomposteren of recyclagepark (tuinafval)
Ketting,Recyclagepark (metaal)
Kettingzaag,Recyclagepark (elektro)
Keukenrobot,Recyclagepark (elektro)
Keukenrol,Papier en karton
Keukenrolpapier,Thuiscomposteren of restafvalzak
Keukenschort,Bevuild: restafvalzak 	Versleten:Â textielcontainer 	Herbruikbaar: textielcontainerÂ of de Kring(loop)winkel Meer info: www.mirom.be/textiel
Keukenweegschaal (manueel of elektrisch),Restafvalzak / Recycleagepark (elektro)
